N:6980368, B:11010101000001100010000, Hex:6A8310
N:3999272, B:1111010000011000101000, Hex:3D0628
N:3142897, B:1011111111010011110001, Hex:2FF4F1
N:8151159, B:11111000110000001110111, Hex:7C6077
N:5147564, B:10011101000101110101100, Hex:4E8BAC
N:4595374, B:10001100001111010101110, Hex:461EAE
N:4234951, B:10000001001111011000111, Hex:409EC7
N:7880605, B:11110000011111110011101, Hex:783F9D
N:7009921, B:11010101111011010000001, Hex:6AF681
N:695580, B:10101001110100011100, Hex:A9D1C
N:7370443, B:11100000111011011001011, Hex:7076CB
N:7921729, B:11110001110000001000001, Hex:78E041
N:8419625, B:100000000111100100101001, Hex:807929
N:7024080, B:11010110010110111010000, Hex:6B2DD0
N:3905988, B:1110111001100111000100, Hex:3B99C4
N:1767599, B:110101111100010101111, Hex:1AF8AF
N:935136, B:11100100010011100000, Hex:E44E0
N:635788, B:10011011001110001100, Hex:9B38C
N:8807719, B:100001100110010100100111, Hex:866527
N:317375, B:1001101011110111111, Hex:4D7BF
N:9975410, B:100110000011011001110010, Hex:983672
N:2727968, B:1010011010000000100000, Hex:29A020
N:7444399, B:11100011001011110101111, Hex:7197AF
N:4065675, B:1111100000100110001011, Hex:3E098B
N:9925720, B:100101110111010001011000, Hex:977458
N:2293633, B:1000101111111110000001, Hex:22FF81
N:7734826, B:11101100000011000101010, Hex:76062A
N:1065463, B:100000100000111110111, Hex:1041F7
N:1105617, B:100001101111011010001, Hex:10DED1
N:5325800, B:10100010100001111101000, Hex:5143E8
N:3822527, B:1110100101001110111111, Hex:3A53BF
N:5503858, B:10100111111101101110010, Hex:53FB72
N:9214055, B:100011001001100001100111, Hex:8C9867
N:6521769, B:11000111000001110101001, Hex:6383A9
N:7923796, B:11110001110100001010100, Hex:78E854
N:5250236, B:10100000001110010111100, Hex:501CBC
N:1083154, B:100001000011100010010, Hex:108712
N:472141, B:1110011010001001101, Hex:7344D
N:9597454, B:100100100111001000001110, Hex:92720E
N:1581679, B:110000010001001101111, Hex:18226F
N:656751, B:10100000010101101111, Hex:A056F
N:345464, B:1010100010101111000, Hex:54578
N:4281218, B:10000010101001110000010, Hex:415382
N:6558883, B:11001000001010010100011, Hex:6414A3
N:3852986, B:1110101100101010111010, Hex:3ACABA
N:6263187, B:10111111001000110010011, Hex:5F9193
N:5828308, B:10110001110111011010100, Hex:58EED4
N:8058535, B:11110101111011010100111, Hex:7AF6A7
N:9035191, B:100010011101110110110111, Hex:89DDB7
N:7922103, B:11110001110000110110111, Hex:78E1B7
N:9366003, B:100011101110100111110011, Hex:8EE9F3
N:4555717, B:10001011000001111000101, Hex:4583C5
N:3526753, B:1101011101000001100001, Hex:35D061
N:3176815, B:1100000111100101101111, Hex:30796F
N:858440, B:11010001100101001000, Hex:D1948
N:2250854, B:1000100101100001100110, Hex:225866

Execution Time for TC1.txt: 0.0006451606750488281s


_____________________________

N:7116776, B:11011001001011111101000, Hex:6C97E8
N:1666340, B:110010110110100100100, Hex:196D24
N:8886983, B:100001111001101011000111, Hex:879AC7
N:839365, B:11001100111011000101, Hex:CCEC5
N:924280, B:11100001101001111000, Hex:E1A78
N:1026310, B:11111010100100000110, Hex:FA906
N:1615293, B:110001010010110111101, Hex:18A5BD
N:1063875, B:100000011101111000011, Hex:103BC3
N:679035, B:10100101110001111011, Hex:A5C7B
N:5201970, B:10011110110000000110010, Hex:4F6032
N:593979, B:10010001000000111011, Hex:9103B
N:801371, B:11000011101001011011, Hex:C3A5B
N:3796878, B:1110011110111110001110, Hex:39EF8E
N:7489201, B:11100100100011010110001, Hex:7246B1
N:9740020, B:100101001001111011110100, Hex:949EF4
N:9128737, B:100010110100101100100001, Hex:8B4B21
N:5473463, B:10100111000010010110111, Hex:5384B7
N:8701957, B:100001001100100000000101, Hex:84C805
N:8238050, B:11111011011001111100010, Hex:7DB3E2
N:8679038, B:100001000110111001111110, Hex:846E7E
N:385912, B:1011110001101111000, Hex:5E378
N:5867340, B:10110011000011101001100, Hex:59874C
N:4894542, B:10010101010111101001110, Hex:4AAF4E
N:8999451, B:100010010101001000011011, Hex:89521B
N:4392535, B:10000110000011001010111, Hex:430657
N:2078131, B:111111011010110110011, Hex:1FB5B3
N:3070124, B:1011101101100010101100, Hex:2ED8AC
N:7451998, B:11100011011010101011110, Hex:71B55E
N:5635510, B:10101011111110110110110, Hex:55FDB6
N:1233932, B:100101101010000001100, Hex:12D40C
N:6089867, B:10111001110110010001011, Hex:5CEC8B
N:1792316, B:110110101100100111100, Hex:1B593C
N:6298637, B:11000000001110000001101, Hex:601C0D
N:2408038, B:1001001011111001100110, Hex:24BE66
N:8510100, B:100000011101101010010100, Hex:81DA94
N:991581, B:11110010000101011101, Hex:F215D
N:6455739, B:11000101000000110111011, Hex:6281BB
N:7829175, B:11101110111011010110111, Hex:7776B7
N:6328931, B:11000001001001001100011, Hex:609263
N:9982305, B:100110000101000101100001, Hex:985161
N:2292022, B:1000101111100100110110, Hex:22F936
N:1070496, B:100000101010110100000, Hex:1055A0
N:8518360, B:100000011111101011011000, Hex:81FAD8
N:6378470, B:11000010101001111100110, Hex:6153E6
N:7756258, B:11101100101100111100010, Hex:7659E2
N:7111767, B:11011001000010001010111, Hex:6C8457
N:2685897, B:1010001111101111001001, Hex:28FBC9
N:617946, B:10010110110111011010, Hex:96DDA
N:246280, B:111100001000001000, Hex:3C208
N:6075442, B:10111001011010000110010, Hex:5CB432
N:991323, B:11110010000001011011, Hex:F205B
N:6754202, B:11001110000111110011010, Hex:670F9A
N:3103178, B:1011110101100111001010, Hex:2F59CA
N:3228842, B:1100010100010010101010, Hex:3144AA
N:6786623, B:11001111000111000111111, Hex:678E3F
N:5329085, B:10100010101000010111101, Hex:5150BD
N:2334647, B:1000111001111110110111, Hex:239FB7
N:7253396, B:11011101010110110010100, Hex:6EAD94
N:6516953, B:11000110111000011011001, Hex:6370D9
N:5972725, B:10110110010001011110101, Hex:5B22F5
N:5828037, B:10110001110110111000101, Hex:58EDC5
N:6642265, B:11001010101101001011001, Hex:655A59
N:2559699, B:1001110000111011010011, Hex:270ED3
N:6597631, B:11001001010101111111111, Hex:64ABFF
N:5826202, B:10110001110011010011010, Hex:58E69A
N:4642335, B:10001101101011000011111, Hex:46D61F
N:1862900, B:111000110110011110100, Hex:1C6CF4
N:6039635, B:10111000010100001010011, Hex:5C2853
N:3358744, B:1100110100000000011000, Hex:334018
N:4965249, B:10010111100001110000001, Hex:4BC381
N:6621475, B:11001010000100100100011, Hex:650923
N:3336153, B:1100101110011111011001, Hex:32E7D9
N:1044743, B:11111111000100000111, Hex:FF107
N:6201477, B:10111101010000010000101, Hex:5EA085
N:6297100, B:11000000001011000001100, Hex:60160C
N:885678, B:11011000001110101110, Hex:D83AE
N:8546891, B:100000100110101001001011, Hex:826A4B
N:6683923, B:11001011111110100010011, Hex:65FD13
N:7064472, B:11010111100101110011000, Hex:6BCB98
N:3430021, B:1101000101011010000101, Hex:345685
N:9764122, B:100101001111110100011010, Hex:94FD1A
N:9958605, B:100101111111010011001101, Hex:97F4CD
N:1006022, B:11110101100111000110, Hex:F59C6
N:5276496, B:10100001000001101010000, Hex:508350
N:8876232, B:100001110111000011001000, Hex:8770C8
N:3364648, B:1100110101011100101000, Hex:335728
N:3539979, B:1101100000010000001011, Hex:36040B
N:3003857, B:1011011101010111010001, Hex:2DD5D1
N:4481634, B:10001000110001001100010, Hex:446262
N:9035781, B:100010011110000000000101, Hex:89E005
N:3767021, B:1110010111101011101101, Hex:397AED
N:4993901, B:10011000011001101101101, Hex:4C336D
N:8698377, B:100001001011101000001001, Hex:84BA09
N:4626501, B:10001101001100001000101, Hex:469845
N:1755352, B:110101100100011011000, Hex:1AC8D8
N:2755340, B:1010100000101100001100, Hex:2A0B0C
N:5150616, B:10011101001011110011000, Hex:4E9798
N:9345169, B:100011101001100010010001, Hex:8E9891
N:848948, B:11001111010000110100, Hex:CF434
N:2708748, B:1010010101010100001100, Hex:29550C
N:8372451, B:11111111100000011100011, Hex:7FC0E3
N:3523015, B:1101011100000111000111, Hex:35C1C7
N:2624283, B:1010000000101100011011, Hex:280B1B
N:8795348, B:100001100011010011010100, Hex:8634D4
N:2318100, B:1000110101111100010100, Hex:235F14
N:4750861, B:10010000111111000001101, Hex:487E0D
N:3770597, B:1110011000100011100101, Hex:3988E5
N:1053352, B:100000001001010101000, Hex:1012A8
N:833307, B:11001011011100011011, Hex:CB71B
N:4632526, B:10001101010111111001110, Hex:46AFCE
N:2212917, B:1000011100010000110101, Hex:21C435
N:5053189, B:10011010001101100000101, Hex:4D1B05
N:412218, B:1100100101000111010, Hex:64A3A
N:4901564, B:10010101100101010111100, Hex:4ACABC
N:5094606, B:10011011011110011001110, Hex:4DBCCE
N:8070285, B:11110110010010010001101, Hex:7B248D
N:6847905, B:11010000111110110100001, Hex:687DA1
N:4311824, B:10000011100101100010000, Hex:41CB10
N:3009421, B:1011011110101110001101, Hex:2DEB8D
N:1629105, B:110001101101110110001, Hex:18DBB1
N:8431899, B:100000001010100100011011, Hex:80A91B
N:7582456, B:11100111011001011111000, Hex:73B2F8
N:7332147, B:11011111110000100110011, Hex:6FE133
N:314183, B:1001100101101000111, Hex:4CB47
N:7632568, B:11101000111011010111000, Hex:7476B8
N:8161327, B:11111001000100000101111, Hex:7C882F
N:6961087, B:11010100011011110111111, Hex:6A37BF
N:6898282, B:11010010100001001101010, Hex:69426A
N:9749303, B:100101001100001100110111, Hex:94C337
N:4427419, B:10000111000111010011011, Hex:438E9B
N:4368829, B:10000101010100110111101, Hex:42A9BD
N:6439318, B:11000100100000110010110, Hex:624196
N:6473603, B:11000101100011110000011, Hex:62C783
N:6446249, B:11000100101110010101001, Hex:625CA9
N:9818836, B:100101011101001011010100, Hex:95D2D4
N:9438069, B:100100000000001101110101, Hex:900375
N:2809499, B:1010101101111010011011, Hex:2ADE9B
N:3460304, B:1101001100110011010000, Hex:34CCD0
N:8430904, B:100000001010010100111000, Hex:80A538
N:9774785, B:100101010010011011000001, Hex:9526C1
N:9560603, B:100100011110001000011011, Hex:91E21B
N:3440732, B:1101001000000001011100, Hex:34805C
N:7053263, B:11010111001111111001111, Hex:6B9FCF
N:287398, B:1000110001010100110, Hex:462A6
N:4043644, B:1111011011001101111100, Hex:3DB37C
N:2943820, B:1011001110101101001100, Hex:2CEB4C
N:9030962, B:100010011100110100110010, Hex:89CD32
N:7537540, B:11100110000001110000100, Hex:730384
N:7203657, B:11011011110101101001001, Hex:6DEB49
N:5639400, B:10101100000110011101000, Hex:560CE8
N:9448142, B:100100000010101011001110, Hex:902ACE
N:9954392, B:100101111110010001011000, Hex:97E458
N:2856859, B:1010111001011110011011, Hex:2B979B
N:1332118, B:101000101001110010110, Hex:145396
N:6984725, B:11010101001010000010101, Hex:6A9415
N:1925762, B:111010110001010000010, Hex:1D6282
N:2138171, B:1000001010000000111011, Hex:20A03B
N:347447, B:1010100110100110111, Hex:54D37
N:8839390, B:100001101110000011011110, Hex:86E0DE
N:3951652, B:1111000100110000100100, Hex:3C4C24
N:3755102, B:1110010100110001011110, Hex:394C5E
N:6867687, B:11010001100101011100111, Hex:68CAE7
N:4383175, B:10000101110000111000111, Hex:42E1C7
N:7125508, B:11011001011101000000100, Hex:6CBA04
N:7799732, B:11101110000001110110100, Hex:7703B4
N:8784156, B:100001100000100100011100, Hex:86091C
N:1372809, B:101001111001010001001, Hex:14F289
N:1327984, B:101000100001101110000, Hex:144370
N:9205087, B:100011000111010101011111, Hex:8C755F
N:6524241, B:11000111000110101010001, Hex:638D51
N:9316072, B:100011100010011011101000, Hex:8E26E8
N:127744, B:11111001100000000, Hex:1F300
N:8388820, B:100000000000000011010100, Hex:8000D4
N:6883557, B:11010010000100011100101, Hex:6908E5
N:2291239, B:1000101111011000100111, Hex:22F627
N:3101270, B:1011110101001001010110, Hex:2F5256
N:1382825, B:101010001100110101001, Hex:1519A9
N:9873376, B:100101101010011111100000, Hex:96A7E0
N:6873500, B:11010001110000110011100, Hex:68E19C
N:8185634, B:11111001110011100100010, Hex:7CE722
N:2464786, B:1001011001110000010010, Hex:259C12
N:8387154, B:11111111111101001010010, Hex:7FFA52
N:5581444, B:10101010010101010000100, Hex:552A84
N:8097911, B:11110111001000001110111, Hex:7B9077
N:8882527, B:100001111000100101011111, Hex:87895F
N:8941444, B:100010000110111110000100, Hex:886F84
N:4942703, B:10010110110101101101111, Hex:4B6B6F
N:101144, B:11000101100011000, Hex:18B18
N:7471180, B:11100100000000001001100, Hex:72004C
N:1932131, B:111010111101101100011, Hex:1D7B63
N:8052752, B:11110101110000000010000, Hex:7AE010
N:6359493, B:11000010000100111000101, Hex:6109C5
N:1967646, B:111100000011000011110, Hex:1E061E
N:6575052, B:11001000101001111001100, Hex:6453CC
N:2323342, B:1000110111001110001110, Hex:23738E
N:6735760, B:11001101100011110010000, Hex:66C790
N:8895858, B:100001111011110101110010, Hex:87BD72
N:4238091, B:10000001010101100001011, Hex:40AB0B
N:7093069, B:11011000011101101001101, Hex:6C3B4D
N:39, B:100111, Hex:27

Execution Time for TC2.txt: 0.0019230842590332031s


_____________________________

N:-39, B:b100111, Hex:X27
N:-36, B:b100100, Hex:X24
N:8, B:1000, Hex:8
N:34, B:100010, Hex:22
N:17, B:10001, Hex:11
N:49, B:110001, Hex:31
N:5, B:101, Hex:5
N:39, B:100111, Hex:27
N:0, B:0, Hex:0
N:33, B:100001, Hex:21
N:12, B:1100, Hex:C
N:-6, B:b110, Hex:X6
N:27, B:11011, Hex:1B
N:-4, B:b100, Hex:X4
N:-38, B:b100110, Hex:X26
N:26, B:11010, Hex:1A
N:49, B:110001, Hex:31
N:29, B:11101, Hex:1D
N:42, B:101010, Hex:2A
N:-16, B:b10000, Hex:X10
N:-28, B:b11100, Hex:X1C
N:34, B:100010, Hex:22
N:20, B:10100, Hex:14
N:0, B:0, Hex:0
N:25, B:11001, Hex:19
N:45, B:101101, Hex:2D
N:3, B:11, Hex:3
N:-46, B:b101110, Hex:X2E
N:-46, B:b101110, Hex:X2E
N:29, B:11101, Hex:1D
N:33, B:100001, Hex:21
N:29, B:11101, Hex:1D
N:26, B:11010, Hex:1A
N:-5, B:b101, Hex:X5
N:-36, B:b100100, Hex:X24
N:12, B:1100, Hex:C
N:45, B:101101, Hex:2D
N:-50, B:b110010, Hex:X32
N:0, B:0, Hex:0
N:-6, B:b110, Hex:X6
N:-39, B:b100111, Hex:X27
N:35, B:100011, Hex:23
N:26, B:11010, Hex:1A
N:-35, B:b100011, Hex:X23
N:-42, B:b101010, Hex:X2A
N:14, B:1110, Hex:E
N:-3, B:b11, Hex:X3
N:22, B:10110, Hex:16
N:-47, B:b101111, Hex:X2F
N:12, B:1100, Hex:C
N:-17, B:b10001, Hex:X11
N:-31, B:b11111, Hex:X1F
N:-25, B:b11001, Hex:X19
N:-35, B:b100011, Hex:X23
N:-18, B:b10010, Hex:X12
N:14, B:1110, Hex:E
N:37, B:100101, Hex:25
N:-8, B:b1000, Hex:X8
N:-41, B:b101001, Hex:X29
N:-50, B:b110010, Hex:X32
N:-9, B:b1001, Hex:X9
N:2, B:10, Hex:2
N:12, B:1100, Hex:C
N:-39, B:b100111, Hex:X27
N:-17, B:b10001, Hex:X11
N:0, B:0, Hex:0
N:27, B:11011, Hex:1B
N:28, B:11100, Hex:1C
N:45, B:101101, Hex:2D
N:-44, B:b101100, Hex:X2C
N:28, B:11100, Hex:1C
N:35, B:100011, Hex:23
N:-33, B:b100001, Hex:X21
N:43, B:101011, Hex:2B
N:-4, B:b100, Hex:X4
N:23, B:10111, Hex:17
N:-49, B:b110001, Hex:X31
N:49, B:110001, Hex:31
N:-7, B:b111, Hex:X7
N:-38, B:b100110, Hex:X26
N:-45, B:b101101, Hex:X2D
N:5, B:101, Hex:5
N:-21, B:b10101, Hex:X15
N:26, B:11010, Hex:1A
N:-2, B:b10, Hex:X2
N:-24, B:b11000, Hex:X18
N:6, B:110, Hex:6
N:-45, B:b101101, Hex:X2D
N:-4, B:b100, Hex:X4
N:15, B:1111, Hex:F
N:0, B:0, Hex:0
N:-17, B:b10001, Hex:X11
N:-35, B:b100011, Hex:X23
N:43, B:101011, Hex:2B
N:45, B:101101, Hex:2D
N:-35, B:b100011, Hex:X23
N:-8, B:b1000, Hex:X8
N:28, B:11100, Hex:1C
N:47, B:101111, Hex:2F
N:34, B:100010, Hex:22
N:-24, B:b11000, Hex:X18
N:-42, B:b101010, Hex:X2A
N:-13, B:b1101, Hex:XD
N:14, B:1110, Hex:E
N:-45, B:b101101, Hex:X2D
N:-35, B:b100011, Hex:X23
N:27, B:11011, Hex:1B
N:-12, B:b1100, Hex:XC
N:-19, B:b10011, Hex:X13
N:-20, B:b10100, Hex:X14
N:-14, B:b1110, Hex:XE
N:20, B:10100, Hex:14
N:30, B:11110, Hex:1E
N:12, B:1100, Hex:C
N:-36, B:b100100, Hex:X24
N:-47, B:b101111, Hex:X2F
N:-27, B:b11011, Hex:X1B
N:-3, B:b11, Hex:X3
N:6, B:110, Hex:6
N:36, B:100100, Hex:24
N:9, B:1001, Hex:9
N:-16, B:b10000, Hex:X10
N:36, B:100100, Hex:24
N:-27, B:b11011, Hex:X1B
N:7, B:111, Hex:7
N:-6, B:b110, Hex:X6
N:-5, B:b101, Hex:X5
N:5, B:101, Hex:5
N:47, B:101111, Hex:2F
N:23, B:10111, Hex:17
N:-48, B:b110000, Hex:X30
N:-24, B:b11000, Hex:X18
N:40, B:101000, Hex:28
N:-4, B:b100, Hex:X4
N:-18, B:b10010, Hex:X12
N:-19, B:b10011, Hex:X13
N:14, B:1110, Hex:E
N:15, B:1111, Hex:F
N:1, B:1, Hex:1
N:24, B:11000, Hex:18
N:-9, B:b1001, Hex:X9
N:-50, B:b110010, Hex:X32
N:18, B:10010, Hex:12
N:15, B:1111, Hex:F
N:30, B:11110, Hex:1E
N:44, B:101100, Hex:2C
N:9, B:1001, Hex:9
N:19, B:10011, Hex:13
N:33, B:100001, Hex:21
N:41, B:101001, Hex:29
N:-24, B:b11000, Hex:X18
N:43, B:101011, Hex:2B
N:48, B:110000, Hex:30
N:-23, B:b10111, Hex:X17
N:7, B:111, Hex:7
N:28, B:11100, Hex:1C
N:8, B:1000, Hex:8
N:-2, B:b10, Hex:X2
N:37, B:100101, Hex:25
N:42, B:101010, Hex:2A
N:-17, B:b10001, Hex:X11
N:-6, B:b110, Hex:X6
N:36, B:100100, Hex:24
N:22, B:10110, Hex:16
N:27, B:11011, Hex:1B
N:31, B:11111, Hex:1F
N:-47, B:b101111, Hex:X2F
N:-43, B:b101011, Hex:X2B
N:0, B:0, Hex:0
N:27, B:11011, Hex:1B
N:30, B:11110, Hex:1E
N:12, B:1100, Hex:C
N:-15, B:b1111, Hex:XF
N:-19, B:b10011, Hex:X13
N:-42, B:b101010, Hex:X2A
N:-37, B:b100101, Hex:X25
N:31, B:11111, Hex:1F
N:-10, B:b1010, Hex:XA
N:18, B:10010, Hex:12
N:33, B:100001, Hex:21
N:-15, B:b1111, Hex:XF
N:17, B:10001, Hex:11
N:25, B:11001, Hex:19
N:-25, B:b11001, Hex:X19
N:-5, B:b101, Hex:X5
N:33, B:100001, Hex:21
N:-13, B:b1101, Hex:XD
N:33, B:100001, Hex:21
N:-10, B:b1010, Hex:XA
N:47, B:101111, Hex:2F
N:47, B:101111, Hex:2F
N:-13, B:b1101, Hex:XD
N:-32, B:b100000, Hex:X20
N:1, B:1, Hex:1
N:1, B:1, Hex:1
N:-25, B:b11001, Hex:X19
N:-33, B:b100001, Hex:X21
N:16, B:10000, Hex:10
N:17, B:10001, Hex:11
N:4, B:100, Hex:4

Execution Time for TC3.txt: 0.0015630722045898438s


_____________________________

N:-39, B:b100111, Hex:X27
N:-36, B:b100100, Hex:X24
N:8, B:1000, Hex:8
N:34, B:100010, Hex:22
N:17, B:10001, Hex:11
N:49, B:110001, Hex:31
N:5, B:101, Hex:5
N:0, B:0, Hex:0
N:33, B:100001, Hex:21
N:12, B:1100, Hex:C
N:-6, B:b110, Hex:X6
N:27, B:11011, Hex:1B
N:-4, B:b100, Hex:X4
N:-38, B:b100110, Hex:X26
N:26, B:11010, Hex:1A
N:49, B:110001, Hex:31
N:29, B:11101, Hex:1D
N:42, B:101010, Hex:2A
N:-16, B:b10000, Hex:X10
N:34, B:100010, Hex:22
